MOVIE_ID,NAME,YEARS,RATING
1,Dinosaur Planet,2003.0,3.749542961608775
1,Dinosaur Planet,2003.0,3.749542961608775
2,Isle of Man TT 2004 Review,2004.0,3.5586206896551724
2,Isle of Man TT 2004 Review,2004.0,3.5586206896551724
3,Character,1997.0,3.6411530815109345
3,Character,1997.0,3.6411530815109345
4,Paula Abdul's Get Up & Dance,1994.0,2.73943661971831
4,Paula Abdul's Get Up & Dance,1994.0,2.73943661971831
5,The Rise and Fall of ECW,2004.0,3.9192982456140353
5,The Rise and Fall of ECW,2004.0,3.9192982456140353
6,Sick,1997.0,3.084396467124632
6,Sick,1997.0,3.084396467124632
7,8 Man,1992.0,2.129032258064516
7,8 Man,1992.0,2.129032258064516
8,What the #$*! Do We Know!?,2004.0,3.1898054996646548
8,What the #$*! Do We Know!?,2004.0,3.1898054996646548
9,Class of Nuke 'Em High 2,1991.0,2.6210526315789475
9,Class of Nuke 'Em High 2,1991.0,2.6210526315789475
10,Fighter,2001.0,3.180722891566265
10,Fighter,2001.0,3.180722891566265
11,Full Frame: Documentary Shorts,1999.0,3.0303030303030303
11,Full Frame: Documentary Shorts,1999.0,3.0303030303030303
12,My Favorite Brunette,1947.0,3.4175824175824174
12,My Favorite Brunette,1947.0,3.4175824175824174
13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,2003.0,4.552
13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,2003.0,4.552
14,Nature: Antarctica,1982.0,3.0254237288135593
14,Nature: Antarctica,1982.0,3.0254237288135593
15,Neil Diamond: Greatest Hits Live,1988.0,3.286206896551724
15,Neil Diamond: Greatest Hits Live,1988.0,3.286206896551724
16,Screamers,1996.0,3.0985550203779177
16,Screamers,1996.0,3.0985550203779177
17,7 Seconds,2005.0,2.90320765334834
17,7 Seconds,2005.0,2.90320765334834
18,Immortal Beloved,1994.0,3.7843685879500097
18,Immortal Beloved,1994.0,3.7843685879500097
19,By Dawn's Early Light,2000.0,3.324675324675325
19,By Dawn's Early Light,2000.0,3.324675324675325
20,Seeta Aur Geeta,1972.0,3.146551724137931
20,Seeta Aur Geeta,1972.0,3.146551724137931
21,Strange Relations,2002.0,3.463302752293578
21,Strange Relations,2002.0,3.463302752293578
22,Chump Change,2000.0,2.2463054187192117
22,Chump Change,2000.0,2.2463054187192117
23,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,2001.0,3.55609756097561
23,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,2001.0,3.55609756097561
24,My Bloody Valentine,1981.0,2.9939984996249063
24,My Bloody Valentine,1981.0,2.9939984996249063
25,Inspector Morse 31: Death Is Now My Neighbour,1997.0,3.970173985086992
25,Inspector Morse 31: Death Is Now My Neighbour,1997.0,3.970173985086992
26,Never Die Alone,2004.0,2.793721207984986
26,Never Die Alone,2004.0,2.793721207984986
27,Sesame Street: Elmo's World: The Street We Live On,1962.0,3.5274725274725274
27,Sesame Street: Elmo's World: The Street We Live On,1962.0,3.5274725274725274
28,Lilo and Stitch,2002.0,3.823254175890521
28,Lilo and Stitch,2002.0,3.823254175890521
29,Boycott,2001.0,3.598470363288719
29,Boycott,2001.0,3.598470363288719
30,Something's Gotta Give,2003.0,3.761842027480091
30,Something's Gotta Give,2003.0,3.761842027480091
31,Classic Albums: Meat Loaf: Bat Out of Hell,1999.0,3.0542986425339365
31,Classic Albums: Meat Loaf: Bat Out of Hell,1999.0,3.0542986425339365
32,ABC Primetime: Mel Gibson's The Passion of the Christ,2004.0,4.071736785329018
32,ABC Primetime: Mel Gibson's The Passion of the Christ,2004.0,4.071736785329018
33,Aqua Teen Hunger Force: Vol. 1,2000.0,4.168650217706822
33,Aqua Teen Hunger Force: Vol. 1,2000.0,4.168650217706822
34,Ashtanga Yoga: Beginner's Practice with Nicki Doane,2003.0,2.712962962962963
34,Ashtanga Yoga: Beginner's Practice with Nicki Doane,2003.0,2.712962962962963
35,Ferngully 2: The Magical Rescue,2000.0,3.1454112038140645
35,Ferngully 2: The Magical Rescue,2000.0,3.1454112038140645
36,Lady Chatterley,1992.0,3.020234291799787
36,Lady Chatterley,1992.0,3.020234291799787
37,Zatoichi's Conspiracy,1973.0,3.9893238434163703
37,Zatoichi's Conspiracy,1973.0,3.9893238434163703
38,Daydream Obsession,2003.0,2.0511221945137157
38,Daydream Obsession,2003.0,2.0511221945137157
39,Love Reinvented,2000.0,2.4361702127659575
39,Love Reinvented,2000.0,2.4361702127659575
40,Pitcher and the Pin-Up,2004.0,2.920570264765784
40,Pitcher and the Pin-Up,2004.0,2.920570264765784
41,Horror Vision,2000.0,1.6344086021505375
41,Horror Vision,2000.0,1.6344086021505375
42,Searching for Paradise,2002.0,2.328125
42,Searching for Paradise,2002.0,2.328125
43,Silent Service,2000.0,2.5714285714285716
43,Silent Service,2000.0,2.5714285714285716
44,Spitfire Grill,1996.0,3.6840371720974
44,Spitfire Grill,1996.0,3.6840371720974
45,The Love Letter,1999.0,2.9686903398243603
45,The Love Letter,1999.0,2.9686903398243603
46,Rudolph the Red-Nosed Reindeer,1964.0,3.8064958828911255
46,Rudolph the Red-Nosed Reindeer,1964.0,3.8064958828911255
47,The Bad and the Beautiful,1952.0,3.266382978723404
47,The Bad and the Beautiful,1952.0,3.266382978723404
